id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,pymnt_plan,url,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,collections_12_mths_ex_med,mths_since_last_major_derog,policy_code,application_type,annual_inc_joint,dti_joint,verification_status_joint,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_act_il,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,chargeoff_within_12_mths,delinq_amnt,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,mths_since_recent_bc_dlq,mths_since_recent_inq,mths_since_recent_revol_delinq,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_120dpd_2m,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit,revol_bal_joint,sec_app_earliest_cr_line,sec_app_inq_last_6mths,sec_app_mort_acc,sec_app_open_acc,sec_app_revol_util,sec_app_open_act_il,sec_app_num_rev_accts,sec_app_chargeoff_within_12_mths,sec_app_collections_12_mths_ex_med,sec_app_mths_since_last_major_derog,hardship_flag,hardship_type,hardship_reason,hardship_status,deferral_term,hardship_amount,hardship_start_date,hardship_end_date,payment_plan_start_date,hardship_length,hardship_dpd,hardship_loan_status,orig_projected_additional_accrued_interest,hardship_payoff_balance_amount,hardship_last_payment_amount,disbursement_method,debt_settlement_flag,debt_settlement_flag_date,settlement_status,settlement_date,settlement_amount,settlement_percentage,settlement_term
,,5500,5500,5500, 36 months,22.35,211.05,D,D5,,< 1 year,MORTGAGE,50000,Not Verified,Dec-2018,Current,n,,,credit_card,Credit card refinancing,711xx,LA,15.94,1,May-2007,0,22,,6,0,4529,94.4,13,w,5280.75,5280.75,411.86,411.86,219.25,192.61,0.0,0.0,0.0,Feb-2019,211.05,Mar-2019,Feb-2019,0,22,1,Individual,,,,0,0,228151,2,2,1,2,4,13656,87,1,1,2837,89,4800,2,0,0,3,38025,271,94.4,0,0,139,105,5,4,3,5,22,4,22,2,3,3,3,4,5,3,5,3,6,0,0,1,2,84.6,100,0,0,243452,18185,4800,15649,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,28000,28000,28000, 60 months,11.31,613.13,B,B3,Consultant,2 years,MORTGAGE,70000,Not Verified,Dec-2018,Current,n,,,credit_card,Credit card refinancing,300xx,GA,22.01,0,Dec-2003,1,,,10,0,56152,55.9,23,w,27298.25,27298.25,1199.87,1199.87,701.75,498.12,0.0,0.0,0.0,Feb-2019,613.13,Mar-2019,Feb-2019,0,,1,Individual,,,,0,0,177406,1,1,0,0,62,9484,54,1,2,16284,56,100400,1,0,1,2,17741,44248,55.9,0,0,180,165,6,6,1,6,,6,,0,5,5,8,9,13,8,9,5,10,0,0,0,1,100,37.5,0,0,259435,65636,100400,17535,,,,,,,,,,,,N,,,,,,,,,,,,,,,DirectPay,N,,,,,,
,,11200,11200,11200, 36 months,8.19,351.95,A,A4,Job Coach Supervisor,10+ years,MORTGAGE,65000,Not Verified,Dec-2018,Current,n,,,credit_card,Credit card refinancing,840xx,UT,23.6,0,Jun-2003,0,,,20,0,8836,16.6,27,w,10647.10,10647.10,696.26,696.26,552.90,143.36,0.0,0.0,0.0,Feb-2019,351.95,Mar-2019,Feb-2019,0,,1,Individual,,,,0,0,249643,2,8,2,3,1,69959,68,0,0,4603,45,53100,3,0,3,3,12482,26289,24.7,0,0,170,186,25,1,4,65,,1,,0,4,5,5,5,13,10,10,5,20,0,0,0,2,100,20,0,0,345654,78795,34900,114578,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,6500,6500,6500, 36 months,17.97,234.9,D,D1,Quality Field Engineer,4 years,MORTGAGE,154000,Source Verified,Dec-2018,Current,n,,,debt_consolidation,Debt consolidation,278xx,NC,28.78,2,Oct-2008,0,6,,27,0,23754,60.4,41,w,6222.82,6222.82,460.07,460.07,277.18,182.89,0.0,0.0,0.0,Feb-2019,234.9,Mar-2019,Feb-2019,0,6,1,Individual,,,,0,0,116747,2,8,3,5,1,92993,78,1,6,3943,72,39300,3,3,3,11,4324,4578,62.8,1,0,122,74,11,1,0,13,,4,,1,5,19,5,8,17,19,24,19,27,0,0,1,4,90.2,20,0,0,169160,116747,12300,129860,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,22000,22000,22000, 60 months,12.98,500.35,B,B5,Teller ,10+ years,MORTGAGE,65000,Source Verified,Dec-2018,Current,n,,,debt_consolidation,Debt consolidation,413xx,KY,11.19,0,Jul-1990,0,,,8,0,134,0.5,16,w,21472.40,21472.40,976.9,976.90,527.60,449.30,0.0,0.0,0.0,Feb-2019,500.35,Mar-2019,Feb-2019,0,,1,Individual,,,,0,0,22337,1,1,0,0,36,22127,,1,2,3,1,29500,0,0,0,2,3191,27197,0,0,0,162,341,4,4,1,4,,15,,0,1,2,3,4,6,6,8,2,8,0,0,0,1,100,0,0,0,71932,22337,27200,38535,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,3500,3500,3500, 36 months,16.14,123.3,C,C4,respritory therapist,10+ years,MORTGAGE,80000,Verified,Dec-2018,Current,n,,,debt_consolidation,Debt consolidation,604xx,IL,13.63,0,Dec-1988,0,43,,7,0,8952,58.5,27,w,3346.52,3346.52,218.36,218.36,153.48,64.88,0.0,0.0,0.0,Feb-2019,123.3,Mar-2019,Feb-2019,0,48,1,Joint App,104424,10.77,Verified,0,0,16085,2,2,0,0,57,7133,26,3,4,3873,38,15300,0,0,1,4,2298,4127,48.4,0,0,144,360,4,4,2,7,,7,117,7,1,3,2,3,10,5,15,3,7,0,0,0,3,76,50,0,0,42328,16085,8000,27028,10286,May-2002,2,3,2,44.1,0,6,0,0,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,7000,7000,7000, 36 months,12.98,235.8,B,B5,Worship Director,4 years,MORTGAGE,102500,Not Verified,Dec-2018,Current,n,,,house,Home buying,436xx,OH,15.2,0,Dec-2002,0,38,,9,0,1057,7.2,21,w,6678.10,6678.10,464.03,464.03,321.90,142.13,0.0,0.0,0.0,Feb-2019,235.8,Mar-2019,Feb-2019,0,68,1,Individual,,,,0,0,174891,1,4,1,1,10,75652,78,1,2,0,69,14700,1,0,3,3,19432,7200,0,0,0,182,192,6,6,4,26,,10,,1,0,2,2,3,8,4,9,2,9,0,0,0,2,80,0,0,0,214624,76709,7200,96826,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,25000,25000,25000, 60 months,16.91,620.11,C,C5,Processor ,10+ years,MORTGAGE,23878,Not Verified,Dec-2018,Current,n,,,debt_consolidation,Debt consolidation,453xx,OH,6.26,0,Oct-2010,0,,,4,0,3044,54.4,8,w,24460.59,24460.59,1204.99,1204.99,539.41,665.58,0.0,0.0,0.0,Feb-2019,620.11,Mar-2019,Feb-2019,0,,1,Joint App,64793,18.91,Not Verified,0,0,79660,0,0,0,0,47,0,,0,0,1044,54,5600,0,0,0,0,19915,0,104.4,0,0,90,98,27,27,2,84,,,,0,1,3,1,1,2,3,4,3,4,0,0,0,0,100,100,0,0,92334,3044,1000,0,24654,Aug-2003,0,2,9,78.9,1,12,0,0,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,16000,16000,16000, 60 months,20.89,431.87,D,D4,Neonatal Nurse Practitioner,4 years,MORTGAGE,120000,Not Verified,Dec-2018,Current,n,,,credit_card,Credit card refinancing,720xx,AR,27.57,1,Jul-2005,0,8,,13,0,18826,82.2,37,w,15690.66,15690.66,835.89,835.89,309.34,526.55,0.0,0.0,0.0,Feb-2019,431.87,Mar-2019,Feb-2019,0,35,1,Individual,,,,0,0,434239,1,6,1,4,4,247928,90,1,1,9439,87,22900,6,1,2,5,33403,430,96.8,0,0,136,146,12,4,2,12,48,4,8,2,2,4,2,5,24,6,10,4,13,0,0,0,2,86.5,100,0,0,444217,266754,13500,239338,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,13000,13000,13000, 60 months,14.47,305.67,C,C2,Stationary Engineer,10+ years,MORTGAGE,75000,Not Verified,Dec-2018,Current,n,,,debt_consolidation,Debt consolidation,741xx,OK,26.16,0,Feb-2001,1,,,9,0,15551,58.2,13,w,12700.38,12700.38,595.66,595.66,299.62,296.04,0.0,0.0,0.0,Feb-2019,305.67,Mar-2019,Feb-2019,0,,1,Individual,,,,0,0,131400,0,5,1,4,10,35369,70,0,0,13287,66,26700,2,0,1,4,14600,11149,58.2,0,0,159,214,81,10,1,81,,5,,0,3,3,3,3,8,3,4,3,9,0,0,0,1,100,33.3,0,0,176598,50920,26700,50898,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,10000,10000,10000, 36 months,13.56,339.65,C,C1,,< 1 year,MORTGAGE,65000,Not Verified,Dec-2018,Current,n,,,credit_card,Credit card refinancing,937xx,CA,10.62,0,Dec-2004,1,30,100,14,1,9765,74.0,28,w,9544.14,9544.14,668.0,668.00,455.86,212.14,0.0,0.0,0.0,Feb-2019,339.65,Mar-2019,Feb-2019,0,45,1,Individual,,,,0,6389,45972,0,5,0,0,65,36207,104,2,4,3359,96,13200,1,0,2,4,3536,1777,84.5,0,0,168,142,7,7,0,7,35,5,30,2,5,6,5,7,17,9,11,6,14,0,0,0,2,77.8,80,1,0,48052,45972,11500,34852,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,13000,13000,13000, 36 months,14.47,447.29,C,C2,Exhibits director,10+ years,MORTGAGE,55000,Verified,Dec-2018,Current,n,,,credit_card,Credit card refinancing,611xx,IL,10.58,0,Oct-2001,0,,,7,0,13478,82.2,17,w,12415.43,12415.43,878.9,878.90,584.57,294.33,0.0,0.0,0.0,Feb-2019,447.29,Mar-2019,Feb-2019,0,,1,Individual,,,,0,160,34996,0,1,0,0,25,400,40,0,2,4807,80,16400,0,0,0,4,4999,3024,78.2,0,0,122,206,14,14,3,14,,14,,0,3,4,4,6,6,5,8,4,7,0,0,0,0,100,75,0,0,41150,13878,13900,1000,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,9600,9600,9600, 36 months,23.4,373.62,E,E1,driver coordinator ,9 years,RENT,65000,Not Verified,Dec-2018,Current,n,,,credit_card,Credit card refinancing,265xx,WV,23.01,1,Sep-2003,0,16,,12,0,10678,37.5,20,f,9223.52,9223.52,728.52,728.52,376.48,352.04,0.0,0.0,0.0,Feb-2019,373.62,Mar-2019,Feb-2019,0,,1,Individual,,,,0,66,24165,0,2,0,0,43,13487,33,1,1,2264,35,28500,0,0,0,1,2014,232,96.9,0,0,183,92,12,12,0,27,,15,30,0,7,9,7,8,8,10,12,9,12,0,0,0,1,90,85.7,0,0,68902,24165,7600,40402,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,3500,3500,3500, 36 months,20.89,131.67,D,D4,gas attendant,10+ years,MORTGAGE,40000,Source Verified,Dec-2018,Current,n,,,car,Car financing,078xx,NJ,9.09,0,Oct-2004,1,24,,4,0,1944,33.5,18,w,3357.29,3357.29,257.25,257.25,142.71,114.54,0.0,0.0,0.0,Feb-2019,131.67,Mar-2019,Feb-2019,0,48,1,Joint App,59500,10.59,Source Verified,0,0,189794,1,1,1,1,7,24958,100,2,2,1317,87,5800,1,0,3,3,47449,3683,26.3,0,0,150,170,1,1,4,8,48,1,48,2,1,2,1,8,3,2,11,2,4,0,0,0,3,38.9,0,0,0,217000,26902,5000,25000,6902,May-2003,0,3,6,47.9,0,21,0,0,46,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,16000,16000,16000, 60 months,26.31,481.99,E,E4,Financial Relationship Associate,< 1 year,RENT,33000,Source Verified,Dec-2018,Current,n,,,credit_card,Credit card refinancing,290xx,SC,33.62,0,Sep-2010,1,,,17,0,22872,65.5,22,w,15734.74,15734.74,928.9,928.90,265.26,663.64,0.0,0.0,0.0,Feb-2019,481.99,Mar-2019,Feb-2019,0,,1,Individual,,,,0,0,29869,1,1,0,1,24,6997,65,1,1,2703,65,34900,0,3,1,2,1757,4596,66.9,0,0,29,99,2,2,0,2,,3,,0,6,11,9,13,2,16,20,11,17,0,0,0,1,100,55.6,0,0,45709,29869,13900,10809,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,15000,15000,14975, 60 months,14.47,352.69,C,C2,,n/a,MORTGAGE,30000,Source Verified,Dec-2018,Current,n,,,debt_consolidation,Debt consolidation,756xx,TX,41.6,0,Oct-1999,0,,,20,0,20049,37.2,30,f,14654.57,14630.15,687.29,686.14,345.43,341.86,0.0,0.0,0.0,Feb-2019,352.69,Mar-2019,Feb-2019,0,,1,Joint App,55000,34.95,Source Verified,0,0,65496,1,1,0,1,16,4458,31,1,1,3616,36,53900,0,2,0,2,3275,2545,74.3,0,0,149,230,6,6,1,31,,,,0,4,13,4,5,8,18,21,13,20,0,0,0,1,100,50,0,0,118790,24507,9900,14490,29704,Oct-1999,0,0,16,48.8,0,15,0,0,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,13000,13000,13000, 36 months,23.4,505.95,E,E1,Sale Representative,2 years,MORTGAGE,90000,Verified,Dec-2018,Current,n,,,other,Other,191xx,PA,39.73,0,May-2007,0,,,14,0,52013,83.1,20,w,12490.18,12490.18,986.55,986.55,509.82,476.73,0.0,0.0,0.0,Feb-2019,505.95,Mar-2019,Feb-2019,0,,1,Individual,,,,0,0,87876,1,7,1,3,1,35863,48,0,1,18037,64,62600,2,0,1,4,6277,9503,83.8,0,0,131,139,16,1,0,16,,10,,0,6,7,6,7,11,7,9,7,14,0,0,0,1,100,66.7,0,0,137276,87876,58600,74676,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,23000,23000,23000, 60 months,20.89,620.81,D,D4,Operator,5 years,RENT,68107,Source Verified,Dec-2018,Current,n,,,debt_consolidation,Debt consolidation,672xx,KS,0.52,0,Feb-1997,0,,,5,0,976,13.0,10,w,22158.77,22158.77,1201.58,1201.58,841.23,360.35,0.0,0.0,0.0,Feb-2019,1241.62,Mar-2019,Feb-2019,1,,1,Individual,,,,0,2693,976,0,0,0,0,36,0,,3,4,0,13,7500,2,2,4,4,195,3300,0,0,0,237,262,10,10,0,10,,9,,0,0,1,3,4,3,5,7,1,5,0,0,0,3,100,0,0,0,7500,976,3300,0,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,8000,8000,8000, 36 months,23.4,311.35,E,E1,Manager,10+ years,OWN,43000,Source Verified,Dec-2018,Current,n,,,debt_consolidation,Debt consolidation,357xx,AL,33.24,0,Jan-1995,0,,107,8,1,9019,81.3,16,w,7686.27,7686.27,607.1,607.10,313.73,293.37,0.0,0.0,0.0,Feb-2019,311.35,Mar-2019,Feb-2019,0,,1,Individual,,,,0,0,169223,0,3,2,2,7,22059,69,0,0,2174,72,11100,1,1,1,2,21153,126,94.5,0,0,148,287,44,7,1,51,,7,,0,1,4,1,2,8,4,7,4,8,0,0,0,2,100,100,1,0,199744,31078,2300,32206,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,32075,32075,32075, 60 months,11.8,710.26,B,B4,Nursing Supervisor,10+ years,MORTGAGE,150000,Not Verified,Dec-2018,Current,n,,,credit_card,Credit card refinancing,231xx,VA,22.21,0,Aug-2005,0,,,17,0,19077,32.0,24,w,31281.41,31281.41,1388.98,1388.98,793.59,595.39,0.0,0.0,0.0,Feb-2019,710.26,Mar-2019,Feb-2019,0,,1,Individual,,,,0,0,272667,1,4,1,1,9,37558,47,1,1,3910,41,59600,1,2,0,3,16039,10446,47.8,0,0,160,70,4,4,2,27,,14,,0,4,10,4,4,8,12,14,10,17,0,0,0,2,100,50,0,0,360433,56635,20000,80125,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,12000,12000,12000, 60 months,13.56,276.49,C,C1,,< 1 year,MORTGAGE,40000,Not Verified,Dec-2018,Current,n,,,debt_consolidation,Debt consolidation,180xx,PA,19.23,0,Aug-2005,2,,,8,0,23195,55.5,9,w,11716.63,11716.63,539.42,539.42,283.37,256.05,0.0,0.0,0.0,Feb-2019,276.49,Mar-2019,Feb-2019,0,,1,Individual,,,,0,0,32462,1,1,1,1,4,9267,103,2,2,9747,64,41800,1,0,3,3,4058,16601,54.9,0,0,4,149,9,4,1,10,,4,,0,5,6,5,5,1,7,7,6,8,0,0,0,3,100,60,0,0,50800,32462,36800,9000,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
